Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6
Ազգ	ի, աց	s.	nation, people; generation; race; gender; kind, sort, quality; sex, age, epoch; century; manner, way; Գիրք —ազգաց, Book of Judges; յագէ յազգ, from age to age, from generation to generation; ազգ Հայոց, the Armenian nation; Անգլիացի յազգէ, of the English nation, English; Ամերիկացի եմ ազգաւ, I am American by birth; — կանանց, the female sex, the fair sex, the woman kind; — մարդկան, the human kind, humanity; ազգով, with all the nation; մի —, the same, the same manner, equally; ազգք ազգք բանասիրութեան, the different kinds of literature; ազգք եւ ազինք, all nations, all people.										
Ազգաբան	ից	s.	genealogist.										
Ազգաբանական	ի, աց	adj.	genealogical.										
Ազգաբանեմ	եցի	va.	to draw or write a genealogy, to number ancestors.										
Ազգաբանութիւն	ութեան	s.	genealogy.										
Ազգ ազգ		adj. adv.	cf. Ազգի՞՞՞ազգի										
Ազգի՞՞՞ազգի		adj.	many nations, many people;	adv.	various, different, manifold.								
Ազգագով		adj.	admirer of his country, who praises his country.										
Ազգադաւ		adj.	who betrays his country.										
Ազգադրուժ		adj.	cf. Ազգադաւ										
Ազգադղորդ		adj.	who shakes, overthrows, upsets the nation.										
Ազգաթիւ		s.	relation; genealogy; lineage.										
Ազգաժողով		adj.	united by nationality;	s.	national assembly.								
Ազգախառն		adj.	relation, consanguineous.										
Ազգախառնութիւն	ութեան	s.	relationship, consanguinity.										
Ազգախռով		adj.	who agitates, disturbs the nation.										
Ազգածանօթ		adj.	known by the nation; known to the nation.										
Ազգական	ի, աց	s.	relation, kinsman or kinswoman; մերձաւոր —, next of kin;	adj.	like, analogous.								
Ազգականութիւն	ութեան	s.	relationship, consanguinity, kin, cognation; race, family; likeness, analogy; զօդք ազգականութեան, the ties of relationship.										
Ազգականուհի	հւոյ	s.	kinswoman.										
Ազգակեղծ		adj.	who hides or dissimulates his nationality.										
Ազգակեցոյց		adj.	who rescues, liberates his nation.										
Ազգակից	կցի, կցաց	s.	parent, compatriot;	adj.	national, of the same nation; allied to, near, like, similar, analogous.								
Ազգակցիմ	եցայ	vn.	to make alliance by marriage.										
Ազգակցութիւն	ութեան	s.	consanguinity; affinity, alliance by marriage; analogy, likeness, resemblance.										
Ազգահամար	աց	s.	census; enumeration; — առնել, to make the census of a nation or people.										
Ազգահատութիւն	ութեան	s.	extinction of a nation, race.										
Ազգահաւ	ի, ուց	s.	chief, father of a nation or race.										
Ազգային	յնոյ, ոց	adj.	national; related, allied to by marriage;	s.	parent, relation; — բարք, national character; աւանդութիւն —, national tradition; — ժողովն Հայոց, the national assembly or synod of the Armenians.								
Ազգայօդ		adj.	which unites the nation;	s.	national tie.								
Ազգանուէր		adj.	devoted to the nation; offered by the nation.										
Ազգապանծ		adj.	who is proud of his nation.										
Ազգապետ	աց	s.	chief, governor of a nation or family.										
Ազգապետութիւն	ութեան	s.	charge or office of a governor of the people.										
Ազգապիղծ		adj.	incestuous										
Ազգապղծութիւն	ութեան	s.	incest.										
Ազգասէր		adj.	loving his country or nation, patriotic.										
Ազգասիրութիւն	ութեան	s.	attachment to his country or nation, patriotism.										
Ազգավայել		adj.	worthy or becoming to the nation.										
Ազգատ առնեմ		sv.	to extirpate a family or race.										
Ազգատեաց		adj.	who hates his nation.										
Ազգատեցութիւն	ութեան	s.	hatred of one's nation.										
Ազգատոհմ	ից	s.	family, house, generation, progeny.										
Ազգովիմբ		adv.	throughout the nation, nationally.										
Ազգովին		adv.	cf. Ազգովիմբ.										
Ազգութիւն	ութեան	s.	nationality.										
Ազդ		s.	sensation, feeling; advice; — առնել, to give notice or information, to notify; to instruct; to advise, to admonish; to announce, to publish; — առնել յառաջագոյն or կանխաւ, to precaution, to premonish, to put on guard; — լինել, to be aware of, to be informed of; to be announced or published.										
Ազդական	ի, աց	adj.	advising, monitorial; penetrative, energetic, efficacious.										
Ազդարան		s.	place where a public notice is proclaimed; instrument with which notice is given, horn, trumpet.										
Ազդարար	ի	adj.	monitorial, advising;	s.	monitor, adviser.								
Ազդարարութիւն	ութեան	s.	advice, admonition, counsel; warning, summons; notice, information.										
Ազդելի	լւոյ, լեաց	adj.	sensible; sensitive.										
Ազդելիք	լեաց	s. pl.	the senses.										
Ազդեմ	եցի	va.	to inform, to advertise, to announce; to influence, to inspire, to dictate; to work upon, move or affect; to suggest, to insinuate.										
Ազդեցական	ի, աց	adj.	cf. Ազդեցիկ.										
Ազդեցիկ		adj.	efficacious, energetic.										
Ազդեցութիւն	ութեան	s.	notice, warning, admonition; perception, instinct; inspiration; suggestion, instigation; efficacy, force, power; emphasis, energy.										
Ազդեցուցանեմ	ուցի	va.	cf. Ազդեմ										
Ազդիչ		adj.	efficacious, energetic;	s.	adviser.								
Ազդողաբար		adv.	efficaciously, energetically.										
Ազդողական	ի, աց	adj.	efficacious, energetic.										
Ազդողութիւն	ութեան	s.	cf. Ազդեցութիւն.										
Ազդոյ	Ազդու	adj.	efficacious, strong, energetic, penetrative; pathetic, expressive, emphatic, significative; active, vehement, spirituous, violent.										
Ազդումն	ման	s.	cf. Ազդեցութիւն; ազդմամբ, cf. Իրաւ, cf. Իրօք, cf. Արդարև, cf. Իսկապէս; — առնուլ, cf. Զգամ.										
Ազդր	դեր, դերաց	s.	thigh; back.										
Ազն	ազին, զինք, զանց	s.	nation, people, generation; cf. Ազգ.										
Ազնիւ	նուի, ուաց	s.	fine, good, exquisite, excellent, precious, rare, choice, worthy; noble, great; genteel, civil;	adv. int.	well ! very well ! bravo !								
Ազնուաբար		adv.	genteelly, civilly; nobly, generously.										
Ազնուաբարոյ	ից	adj.	genteel, civil, well-mannered; noble, generous.										
Ազնուագին		adj.	precious, dear, rare.										
Ազնուագութ		adj.	benign, clement, kind, merciful, humane.										
Ազնուազարմ		adj.	noble, illustrious, of a noble family.										
Ազնուազգի		adj.	of noble nation, race.										
Ազնուազգութիւն	ութեան	s.	nobility of nation, race.										
Ազնուախոհ		adj.	who has noble sentiments.										
Ազնուական	ի, աց	adj.	civil, genteel, noble, generous;	s.	gentleman.								
Ազնուականութիւն	ութեան	s.	nobility, birth, gentility; civility, genteelness; generosity, nobleness.										
Ազնուամիտ	մտի, մտաց	adj.	of good sentiments, noble, generous.										
Ազնուամտութիւն	ութեան	s.	nobility of sentiments.										
Ազնուանամ	ացայ	vn.	to grow better, to mend; to receive a grant of nobility; to be ennobled, to become noble.										
Ազնուապաշտօն		adj.	pious, religious devout.										
Ազնուապետ	աց	s.	aristocrat.										
