title,part_of_speech,definition,current_etymology
գիտեմ,verb,['I know.'],
գիրգ,adj,"['plump, delicate, soft, tender.']",
գիրկ,noun,"['arms, lap, bosom.']",
գյոզ,noun,"['dialectal, colloquial eye.', '(dialectal, colloquial) eye.']",
գյոռ,noun,"['Muslim grave.', '(derogatory, offensive) any grave.']",
գոգ,noun,"['lap.', 'hollow, depression in the earth.', 'lap, hem (of clothes).']",
գոմեշ,noun,['buffalo.'],
գոտի,noun,"['belt, girdle; sash, waistband.', '(geography) zone, belt.', 'zone (a given area distinguished on t",
գութ,noun,"['<ref name=""HAB""></ref>.', 'pity, compassion.']",
գուռ,noun,"['abreuvoir, watering trough for people or animals.', 'abreuvoir, watering trough (for people or ani",
գրավ,noun,"['pledge, security, surety.', 'deposit, prepayment.', '(archaic) wager.']",
գրել,verb,['to write.'],
գրենա,noun,['grain; silkworm eggs.'],
գրիժա,noun,['synonym of ճողվածք (čoġvackʻ).'],
գրկել,verb,"['to embrace, hug.']",
դանակ,noun,['knife.'],
դաշտ,noun,"['field.', '(sports) playing field, sports ground.', '(physics) field.', 'field, sphere.']",
դաչա,noun,['dacha.'],
դատել,verb,"['to judge, to try, to adjudicate.', 'to judge (to form an opinion on), to draw a conclusion, to app",
դեբիլ,adj,"['moron, imbecile, idiot.', 'stupid; moronic, idiotic.']",
դեպք,noun,"['incident, event, occurrence.', 'condition, circumstance.', '(archaic) occasion.']",
դետ,noun,"['patrol, watch.', 'scout, sentinel.', '(dated) lookout-place, peak, height.', 'spy.']",
դզել,verb,"['colloquial to straighten, to correct.', '(colloquial) to straighten, to correct.', '(colloquial) t",
դիել,verb,"['intransitive to suck, to drink mother’s milk.', '(intransitive) to suck, to drink mother’s milk.',",
դիետա,noun,"['diet food a person or animal consumes.', 'diet (food a person or animal consumes).', 'diet (contro",
դիտակ,noun,"['the generic name of various optical instruments used for viewing distant objects.', '(dated) watch",
դլփին,noun,"['Alternative of դելփին.', 'rare form of դելֆին (delfin).']",
դնել,verb,"['to put, to lay.', 'to impose, to inflict.', 'to insert, to put in.', 'to put on (hat, glasses, etc",
դոն,noun,"['dialectal kind of longish bread.', '(dialectal) kind of longish bread.']",
դոշ,noun,"['breast.', 'chest.', 'brisket.']",
դույլ,noun,"['bucket, pail.']",
դույն,pron,['that same.'],
դուրգ,noun,"[""potter's wheel.""]",
դուք,,['personal you plural.'],
դուք,,['personal you plural.'],
դրժել,verb,"[""transitive to break one's word, to violate an oath."", ""(transitive) to break one's word, to violat",
դրվագ,noun,"['ornament, adornment, decoration.', 'embroidery, trimming, needlework.', 'incrustation, encrustatio",
եզակի,adj,"['grammar singular.', '(grammar) singular.', 'singular, unique, one of a kind.']",
եթիմ,adj,"['orphan.', 'orphaned.']",
ելմակ,noun,"['Western Armenian, rare email.', '(Western Armenian, rare) email.']",
եղինջ,noun,['nettle.'],
եղյամ,noun,"['frost, hoarfrost, rime.', '(figuratively) white hair on the head, hoar.']",
եմիշ,noun,"['melon.', 'melon (Cucumis melo).', 'fruit.']",
եվրեյ,noun,['Jew.'],
ետև,adv,"['back.', 'behind.', 'after.', 'the backside, the rear part.', '(euphemistic) butt.']",Etymology needs research - no usable data found
երազ,noun,"['dream imaginary events seen while sleeping.', 'dream (imaginary events seen while sleeping).']",
երե,noun,['herbivorous game animal.'],
երթալ,verb,"['dialectal, or, Western Armenian to go.', '(dialectal or Western Armenian) to go.']",
երկիր,noun,"['country, state.', 'land, territory.']",
երևալ,verb,"['to appear.', 'to emerge, to come out.', 'to be published.']",
զագառ,noun,"['tan, suntan.']",
զալ,noun,"['hall.', 'living room.', 'clipping of սպորտզալ (sportzal, “gym”).']",
զգալ,verb,"['to feel, to sense.', 'to be aware.', 'to foresee, to expect.', 'to feel, to nourish, to entertain.",
զեղխ,adj,"['literary intemperate, lewd, debauched, dissolute.', '(literary) intemperate, lewd, debauched, diss",
զեղչ,noun,['discount.'],
զենք,noun,"['arm, weapon.']",
զիբիլ,adj,"['colloquial litter, rubbish, garbage, trash.', '(colloquial) litter, rubbish, garbage, trash.', '(c",
զղջալ,verb,"['intransitive to regret, to be sorry.', '(intransitive) to regret, to be sorry.', '(theology) to re",
զոբ,noun,['goitre/goiter.'],
զոդել,verb,"['to join two things together.', '(technology) to solder.', '(technology) to weld.']",
զոնա,noun,"['zone various senses.', 'zone (various senses).', '(slang) prison.']",
զոռ,adj,"['colloquial, dialectal force, power, strength.', '(colloquial, dialectal) force, power, strength.',",
զոր,adj,"['rare strength, vigour, force.', '(rare) strength, vigour, force.', 'rare form of զորք (zorkʻ).', '",
զուսպ,adj,"['restrained, moderate.']",
զուտ,adj,"['pure, unmixed.', 'net.', 'purely; exclusively; solely.']",
զրո,numeral,['zero.'],
էգուց,adv,"['colloquial, dialectal tomorrow.', '(colloquial, dialectal) tomorrow.']",
էլիպս,noun,"['geometry ellipse.', '(geometry) ellipse.']",
էծ,noun,"['alternative form of այծ.', 'dialectal and colloquial form of այծ (ayc).']",
էկրան,noun,['screen.'],
էն,pron,"['alternative form of այն.', 'dialectal and colloquial form of այն (ayn).']",
էշ,noun,"['donkey, ass.', '(figuratively) ass, jackass; idiot, dumb-ass, fool, blockhead, clot, dimwit.']",
էսման,adv,"['so, this way.']",
էսսե,noun,['essay.'],
էրիկ,noun,"['dialectal husband.', '(dialectal) husband.', '(dialectal) man.']",
ըդման,adv,"['so, this way.']",
ըմբիշ,noun,['wrestler.'],
ըմպել,verb,"['literary to imbibe, to drink.', '(literary) to imbibe, to drink.']",
ընկեր,noun,"['friend usually male.', 'friend (usually male).', '(communism) comrade (form of address).', 'form o",
թակ,noun,"['mallet; beetle.', 'doorknocker.', 'knock, tap.']",
թամահ,adj,"['greed, avarice, insatiable desire.', 'longing for, yearning for, lacking.']",
թանալ,verb,"['obsolete, transitive to wet, to moisten.', '(obsolete, transitive) to wet, to moisten.']",
թարաֆ,noun,"['side, direction.', 'side (one party in a dispute).']",
թափել,verb,"['transitive to empty, to pour out; to spill by accident.', '(transitive) to empty, to pour out; to ",
թե,conj,"['that.', 'or.', 'if.', 'so that, in order to.', '(when repeated) as well as, both ... and ...', '(H",
թենիս,noun,['tennis.'],
թերթ,noun,"['petal.', 'leaf.', 'sheet.', 'newspaper.']",
թեք,adj,"['sloping, tilted, inclined, slanting.', '(grammar) inflected.']",
թթվել,verb,"['to turn sour.', '(colloquial) to feel depressed, to mope (around), to languish.']",
թի,noun,"['wooden shovel.', 'oar.']",
թիակ,noun,"['anatomy shoulder blade, scapula, shoulder bone.', 'diminutive of թի (tʻi).', '(anatomy) shoulder b",
թիթեղ,noun,"['thin sheet of metal; tin, tin plate.']",
թիթեռ,noun,['butterfly.'],
թիմ,noun,"['team group of people.', 'team (group of people).']",
թիս,noun,"['vulgar quiet fart.', '(vulgar) quiet fart.']",
թիվ,noun,"['number.', 'quantity, number.', 'year; date.', '(grammar) number.']",
թոխի,noun,"['hoe tool for working the soil.', 'hoe (tool for working the soil).']",
թումբ,noun,"['embankment, dyke; mound.', 'garden bed.', 'hillock.']",
թույլ,adj,['weak.'],
թույն,adj,"['poison; venom.', '(slang) cool, awesome, funky.']",
թունա,noun,"['tuna fish.', 'tuna (fish).']",
թուր,noun,['sword.'],
թուրք,noun,"['Turk a person from Turkey or of Turkish ethnic descent.', 'Turk (a person from Turkey or of Turkis",
թսել,verb,"['informal to fart quietly.', '(vulgar) to fart (quietly).']",
թվանք,noun,"['<ref></ref>.', '(dialectal) handgun, rifle.']",
թրծել,verb,"['to burn bricks or pots of clay in order to harden them, to fire.', '(figuratively) to harden.']",
թրև,noun,"['only used in թրեւ գալ (tʻrew gal).', 'only used in թրեւ ածել (tʻrew acel).', 'only used in թրեւ տա",
թև,noun,"['wing.', 'arm of a human.', 'fin of a fish.', '(military) wing, flank.', '(politics) wing.', 'side.",
ժայռ,noun,"['cliff, rock, crag.']",
ժեստ,noun,"['gesture.', 'gesture (communicative motion of the limbs or body).', '(figuratively) gesture (act or",
ժխտել,verb,"['transitive to deny.', '(transitive) to deny.']",
ի դեպ,,['by the way.'],
ինը,numeral,['nine.'],
ինչ,conj,"['what? (interrogative pronoun).', 'what (indefinite pronoun).', 'something, some kind of thing, wha",
իջնել,verb,"['intransitive to descend, to come down.', '(intransitive) to descend, to come down.']",
լայն,adj,"['wide, broad.']",
լար,noun,"['rope, rein, cable, cord, string.', '(geometry) chord.', '(Lori, Ghazakh, Karabakh) long and narrow",
լաց,noun,"['crying, weeping.']",
լացել,verb,"['to weep, to cry.', 'perfective converb of լալ (lal).']",
լափել,verb,"['transitive to lap up, to lick up.', '(transitive) to lap up, to lick up.', '(transitive) to eat up",
լեպ,noun,"['dialectal, Karabakh a layer of dirt formed on the tongue because of illness.', '(dialectal, Karaba",
լեռ,noun,"['mountain, mount.', '(dialectal) hard stone.']",
լիքը,adj,"['full.', 'fat, plump.', '(colloquial) many, a lot of.']",
լիֆտ,noun,"['colloquial elevator, lift.', '(colloquial) elevator, lift.']",
լող,noun,['swimming.'],
լոմ,noun,['crowbar.'],
լույծ,adj,['watery.'],
լույս,noun,"['light.', 'dawn, daybreak.', '(colloquial) electricity, power.']",
խազ,noun,"[', argues for an borrowing, ultimately going back to , sigmatic aorist of ; compare , .', 'line; no",
խազել,verb,['to draw a line; to scratch.'],
խալխ,noun,"['people.', 'crowd, multitude (mixed crowd).', 'others, other people who are not relatives, stranger",
խակ,adj,"['Kurdish:.', 'unripe.', '(figuratively, of a person) unfledged, callow, young; immature, childish, ",
խահ,noun,"['archaic food, victuals.', '(archaic) food, victuals.']",
խաղ,noun,"['game, play.', '(theater, film) acting, performing.', '(dialectal) song, tune.', 'dance.', 'prank; ",
խաղաղ,adj,"['peaceful.', 'quiet.']",
խաշար,noun,"['pole, stick for supporting.', 'pole, stick for supporting climbing plants.']",
խաչ,noun,"['cross geometrical figure.', 'cross (geometrical figure).', '(Christianity) the cross.', '(figurati",
խավար,adj,"['dark, darkness.', '(figuratively) ignorance.', 'dark, obscure, gloomy.', '(figuratively) ignorant.",
խարզա,noun,"['yellow-throated marten.', 'yellow-throated marten (Martes flavigula).']",
խելառ,,"['crazy, insane, mad, demented.']",
խեղճ,adj,"['pitiful, wretched, deserving pity.', 'poor.', '(figurative) clumsy, weak, powerless, inept.']",
խենթ,adj,"['<ref></ref>.', 'crazy, mad, foolish.']",
խերխի,noun,['a kind of larger saw for cutting logs into boards.'],
խիթալ,verb,"['to fear, to be afraid of.', 'to doubt, to suspect, to disbelieve, to distrust.', 'to look at with ",
խլել,verb,"['transitive to seize, snatch, steal, take away.', '(transitive) to seize, snatch, steal, take away.",
խմել,verb,"['to drink.', 'to get drunk, to grow tipsy.', 'to swallow (a pill).']",
խնդալ,verb,['to laugh.'],
խոկ,noun,['thought.'],
խոշ,adj,"['nice, pleasant, pleasing.']",
խոսել,verb,"['to speak.', 'to talk.']",
խոսք,noun,"['speech.', 'word.', 'talk, conversation.', 'word, promise.', '(in the plural) lyrics of a song.']",
խորդ,noun,"['archaic.', '(archaic) synonym of կռունկ (kṙunk).']",
խորթ,adj,"['unrelated, step.', 'unrelated, step-.', 'alien, foreign.', '(dialectal) orphan.', '(dialectal) cou",
խուփ,adj,"['lid, cover of a jar, vessel, container.', 'lid, cover (of a jar, vessel, container).', 'closed, sh",
խռիվ,adj,"['brushwood.', '(of hair) tousled, disheveled, untidy.', 'confused, disorderly.']",
խռուկ,noun,"[', offers a fanciful etymology.', 'whitetop (Lepidium draba) or clasping pepperweed (Lepidium perfo",
խռպոտ,adj,"['of a voice hoarse, raucous.', '(of a voice) hoarse, raucous.']",
խրոխտ,adj,"[', connecting with the family of , which is from.', 'proud, pleased, satisfied (with oneself).', 'b",
ծագ,noun,"['extremity, end, top.']",
ծամել,verb,"['to chew.', '(figuratively) to crumble.', '(figuratively) to repeat something with tiresome monoton",
ծարավ,adj,['thirsty.'],
ծեծել,verb,"['to beat; to whip, lash; to thrash.', 'to pound, to grind.', 'to forge.', 'to knock on (door).']",
ծես,noun,"['ritual, rite, ceremony.']",
ծերտ,noun,"['poop, dung, dropping of birds.', 'poop, dung, dropping (of birds).', '(Kharberd) rheum, sleep, eye",
ծին,noun,"['the act of giving birth, delivery of animals.', 'the act of giving birth, delivery (of animals).',",
ծնոտ,noun,['jaw.'],
ծունկ,noun,"['knee.', ""name for one of the khazes in Hampartsoum Limondjian's notation, indicating a note one ei",
ծռել,verb,"['transitive to bend, to curve.', '(transitive) to bend, to curve.']",
ծփալ,verb,"['intransitive to sway, to wave, to flutter, to undulate.', '(intransitive) to sway, to wave, to flu",
կաթել,verb,"['intransitive to drip, to fall one drop at a time.', '(intransitive) to drip, to fall one drop at a",
կախել,verb,"['transitive to hang.', '(transitive) to hang.']",
կակաո,noun,"['cacao tree.', 'cacao tree (Theobroma cacao).', 'cocoa (hot drink).']",
կաղնի,noun,"[', recorded as kagni.', 'oak, Quercus.']",
կամել,verb,"['dated alternative form of կամենալ.', '(dated) alternative form of կամենալ (kamenal).']",
կամք,noun,"['will.', 'wish, desire.', 'desire, drive, determination.', 'goodwill, benevolence, grace.', 'intent",
կանաչ,adj,"['green.', 'verdant.', 'green (color).', 'verdure.']",
կավառ,noun,"['narrow brook, canal.', 'the point on a canal, whence the water is separated and directed towards t",
կարամ,verb,"['colloquial, Eastern can, to be able to.', '(colloquial, Eastern Armenian) can, to be able to.']",
կարիչ,noun,['stapler.'],
կեղ,noun,"['medicine ulcer, sore.', '(medicine) ulcer, sore.', 'scab.', '(figuratively) sore, evil, pest.']",
կեպկա,noun,"['soft, billed hat (usually for a male).']",
կեռ,adj,"['curved, crooked.', 'hook, crook.']",
կզակ,noun,"['dialectal forms recorded in dialectological notation.', 'chin.', '(dialectal, Vozm) soft palate, v",
կթխա,noun,"['glass, cup, especially a small glass for liquor, a рюмка.', 'glass, cup, especially a small glass ",
կիլո,noun,"['colloquial kilogram, kilo.', '(colloquial) kilogram, kilo.']",
կիճ,noun,"['dialectal the sting of scorpions, bees, serpents, etc.', '(dialectal) the sting of scorpions, bees",
կիմչի,noun,['kimchi.'],
կինճ,noun,"['wild boar, <ref></ref>.', 'wild boar, Sus scrofa.']",
կիսել,verb,"['to halve, to divide.', 'to share, to split (with somebody).']",
կիվի,noun,['kiwi fruit.'],
կլիր,noun,"['dialectal forms recorded in dialectological notation.', '(vulgar, taboo) dick, cock, penis.']",
կծել,verb,"['to bite.', 'to bite off.', 'to tingle, to prick.', 'to sting.']",
կնձնի,noun,"['elm (any tree of the genus ).', 'elm (any tree of the genus Ulmus).']",
կնքել,verb,"['to seal, to affix a seal.', 'to seal up, to close.', 'to conclude, to confirm.', 'to conclude, to ",
կոլա,noun,"['informal Coca-Cola.', '(informal) Coca-Cola.', '(rare) cola (any cola-based soft drink).']",
կոլաժ,noun,['collage.'],
կոխել,verb,"['to trample, to tread.', '(colloquial) to plunge, to shove into, to insert.', '(slang, vulgar) to f",
կոճղ,noun,"['tree stump, stub.', 'block, log, large piece of wood.', 'stocks (punishment device).']",
կոմոդ,noun,"['chest of drawers, bureau, dresser, commode.']",
կոշիկ,noun,['shoe.'],
կով,noun,['cow.'],
կոտեմ,noun,"['dialectal forms recorded in dialectological notation<ref></ref>.', 'peppergrass, pepperwort, Lepid",
կոտոր,adj,"['rare morsel, piece, fragment.', '(rare) morsel, piece, fragment.', 'broken.']",
կռիշ,noun,"['roof.', '(slang) protection; someone who provides protection in a protection racket.']",
կռիս,noun,"['rat.', '(figuratively, derogatory) mean, base, roguish person, scoundrel.']",
կռուփ,noun,['fist.'],
կտղել,verb,"['of animals to rut, to be in heat to burn with sexual desire.', '(of animals) to rut, to be in heat",
կտուց,noun,"[', tentatively compares to and suspects a borrowing; for this word see.', 'beak, bill.']",
կրել,verb,"['to carry; to transport; to bear (to carry or have within oneself).', '(figuratively) to take on, t",
կցել,verb,"['to join, to unite.', 'to attach; to annex; to enclose.']",
հազել,verb,"['transitive, literary to immolate, offer up, sacrifice to idols.', '(transitive, literary) to immol",
հալալ,adj,"['honest, righteous, just.', 'directly related by blood, own.', 'exactly, precisely.']",
հալավ,noun,"['garment.', 'undergarment, tunic.', 'wedding dress.', 'the clothes brought by the bride as a dowry.",
հալվե,noun,"['aloe plant.', 'aloe (plant).', 'aloeswood, agarwood, agalloch.']",
հաղթ,adj,"['strong; powerful, mighty.', 'victorious.', '(proscribed) victory.']",
հաճո,adj,"['archaic pleasant, pleasing (to), agreeable.', '(archaic) pleasant, pleasing (to), agreeable.']",
համր,adj,"['dumb, speechless, mute.', 'silent, without sound.', 'dumb, speechless, mute person.']",
համք,noun,"['rare sexual organ.', '(rare) sexual organ.']",
հայտէ,intj,"[""dialectal come on!, let's go! (urging to move or act)."", ""(dialectal) come on!, let's go! (urging ",
հանել,verb,"['to pull out, to extract.', 'to take off a cloth.', 'to remove, to displace.', 'to withdraw.', '(ar",
հաշիվ,noun,"['reckoning; computation; calculation; enumeration; account.', '(accounting) account (a registry of ",
հաչել,verb,"['of a dog to bark.', '(of a dog) to bark.']",
հավա,noun,['weather.'],
հավաք,adj,"['gathering, assembly.', 'gathered, assembled.', '(figuratively) precise, accurate, self-disciplined",
հավետ,adj,"['constantly, perpetually, forever.', 'always, constant, perpetual.']",
հատ,noun,"['piece.', 'grain, seed.']",
հատիկ,noun,"['grain.', 'granule.']",
հատոր,noun,"['volume, tome of a series of books, periodicals.', 'volume, tome (of a series of books, periodicals",
հարամ,adj,"['religion profane, forbidden (according to religious precepts).', '(religion) profane, forbidden (a",
հարավ,noun,['south.'],
հարթ,adj,"['smooth, even.', 'flat.', 'sleek.', '(rare) lowland, plain.']",
հարս,noun,"['fiancée.', 'bride.', 'a newlywed woman.', ""daughter-in-law, sister-in-law (the woman in relation t",
հարց,noun,"['question.', 'question, issue; problem.', 'matter (of), question (of).']",
հաց,noun,"['bread.', '(by extension) meal, food, table.', '(figuratively) living, means of subsistence.', 'hon",
հեն,noun,"['robber, brigand.', 'band of robbers, gang of brigands.']",
հենց,adv,"['right, very, precisely, exactly.', 'only, just, alone.', 'dialectal form of այնպես (aynpes).']",
հեշտ,adj,"['easy, not hard, light.']",
հեռել,verb,"['transitive, archaic to set, to mount, to enchase, to stud; to fit in.', '(transitive, archaic) to ",
հերթ,noun,"[', derives from.', 'turn.', '(games) turn, move.', 'queue, line.']",
հերիք,adv,['enough.'],
հերկ,noun,"['ploughing, tillage, tilth.', 'ploughed land left fallow.']",
հիմք,noun,"['Kurdish:.', 'base; basis; foundation.', 'grounds, reason.', '(construction) foundation, base.', '(",
հինգ,numeral,['five.'],
հինդի,noun,"['Hindi language.', 'Hindi (language).']",
հիրել,verb,"['archaic to join together.', '(archaic) to join together.', '(archaic) to stretch out, to hold out.",
հղի,adj,"['pregnant also figuratively.', 'pregnant (also figuratively).']",
հյուր,noun,"['guest, visitor.']",
հնոց,noun,['furnace.'],
հոգալ,verb,['to take care (of).'],
հոսել,verb,"['intransitive to flow.', '(intransitive) to flow.']",
հոսք,noun,"['flow, stream.']",
հովազ,noun,"['leopard.', 'leopard, Panthera pardus.']",
հորթ,noun,['calf.'],
հպարտ,adj,['proud.'],
հսկա,adj,"['giant.', '(figuratively) very big person.', 'gigantic, giant.']",
հստակ,adj,"['clean, clear, serene.', 'limpid, lucid, unclouded.', 'certain, sure.', '(figuratively, of a sound ",
ձավար,noun,"['Kurdish:.', 'cracked wheat groats (raw or cooked).']",
ձգտան,noun,"['.ogg|a=Eastern Armenian}}.', 'tendon, sinew.']",
ձեռ,noun,"['colloquial, dialectal alternative form of ձեռք.', '(colloquial, dialectal) alternative form of ձեռ",
ձմեռ,noun,['winter.'],
ձյութ,noun,"['pitch a dark, extremely viscous material remaining in still after distilling crude oil and tar.', ",
