title,part_of_speech,definition,current_etymology,suggested_etymology,source,notes
սաթ,noun,amber.,From .,,wikitext,
սաղ,adj,"dialectal, colloquial alive, living, not dead.","From , from .",,wikitext,
սան,noun,nursling.,From .,,wikitext,
սել,noun,dialectal alternative form of սայլ.,From .,,wikitext,
սեպ,adj,wedge.,From .,,wikitext,
սեռ,noun,"sex, gender.",From .,,wikitext,
սիգ,noun,whitefish.,From .,,wikitext,
սին,adj,", not knowing the origin.",From .,,wikitext,
սով,noun,famine.,From .,,wikitext,
վազ,noun,"dialectal run, running the act of running.","From , from .",,wikitext,
վար,adj,the act of ploughing.,From .,,wikitext,
վեհ,adj,"valuable, precious, prized.",From .,,wikitext,
վեվ,noun,the name of the Armenian letter վ.,From .,,wikitext,
վեր,adj,Usually used with the preposition .,From .,,wikitext,
վեց,numeral,six.,From .,,wikitext,
վկա,noun,"eyewitness, witness.",From .,,wikitext,
վրա,postp,"on, upon, over.","From , from .",,wikitext,
տափ,noun,"plain, flat country or district.",From .,,wikitext,
տաք,adj,"warm, hot.",From .,,wikitext,
տիկ,noun,"skin vessel made of skin, used for holding liquids.",From .,,wikitext,
տիպ,noun,"impression, stamp, imprint.",From .,,wikitext,
տիր,noun,"shooting range, shooting gallery, rifle range.",From .,,wikitext,
տղա,noun,"<ref></ref><!-- do not mechanically convert to Cyrillic, as the transliteration used here is impreci",From .,,wikitext,
ցան,noun,sowing.,From .,,wikitext,
ցար,noun,historical czar.,From .,,wikitext,
ցեպ,noun,chain.,From .,,wikitext,
ցեց,noun,moth.,From .,,wikitext,
ցին,noun,kite bird.,From .,,wikitext,
ցող,noun,dew.,From .,,wikitext,
փակ,adj,"closed, shut; locked.",From .,,wikitext,
քած,noun,bitch female dog.,From .,,wikitext,
քան,conj,than.,From .,,wikitext,
քաշ,noun,alternative form of քարշ.,From .,,wikitext,
քաջ,adj,"brave, courageous.",From .,,wikitext,
քիլ,noun,"archaic the distance between the tips of the spread out thumb and forefinger, about 18 cm.",From .,,wikitext,
քիչ,adj,few.,From .,,wikitext,
քող,noun,Kurdish:.,From .,,wikitext,
քոշ,noun,"he-goat, billygoat.",From .,,wikitext,
քոս,noun,"In Deuteronomy, translates .",From .,,wikitext,
օթո,noun,"Western Armenian car, automobile.",From .,,wikitext,
ֆոն,noun,background.,From .,,wikitext,
-ածո,,Forms nouns and adjectives with the meaning of a consequence of an action.,From .,,wikitext,
-ան-,,forming inchoative verbs.,"From , from .",,wikitext,
-անի,,Possessing a quality or thing.,From .,,wikitext,
-բար,,Forming adverbs. Corresponds to -ly.,From .,,wikitext,
-գին,,forming adjectives and adverbs.,From .,,wikitext,
-են-,,present stem extension found in certain verbs.,From .,,wikitext,
-ենի,,forming names of trees and shrubs.,From .,,wikitext,
-կոտ,,forming adjectives.,From .,,wikitext,
-յալ,,"Forming adjectives from verbs, resulting from the completion of the action expressed by a verb.",From .,,wikitext,
-յակ,,forming nouns.,From .,,wikitext,
-ոնք,,forming action nouns.,From .,,wikitext,
-ոտ-,,forming frequentative verbs.,From .,,wikitext,
-որդ,,forming agent nouns.,From .,,wikitext,
-ուկ,,forming diminutives or terms expressing affection.,"From , from .",,wikitext,
-ում,,the singular and plural locative case ending of nouns of all declension types.,From .,,wikitext,
-ուտ,,forming names of places abounding in or populated with a certain plant.,From .,,wikitext,
-ուք,,forming nouns.,From .,,wikitext,
-պան,,"holder, keeper; protector.","From , from .",,wikitext,
-ված,,forming nouns from verbs.,From .,,wikitext,
-ցն-,,Infixed into suffixed verbs ending with -ել in infinitive to create their causative version. The ver,From .,,wikitext,
Ադամ,proper noun,biblical character Adam.,From .,,wikitext,
Ալեն,proper noun,A male given name.,From .,,wikitext,
Ալիև,proper noun,Aliyev.,"From , from .",,wikitext,
Աննա,proper noun,biblical character Anna; Ann; Hannah.,From .,,wikitext,
Ասիա,proper noun,Asia.,From .,,wikitext,
Ավագ,proper noun,A male given name.,"From , from .",,wikitext,
Ատոմ,proper noun,A male given name.,From .,,wikitext,
Արամ,proper noun,A male given name.,From .,,wikitext,
Գազա,proper noun,"city, c/Palestine.",From .,,wikitext,
Գորի,proper noun,Gori.,From .,,wikitext,
Եղիա,proper noun,biblical character Elijah.,From .,,wikitext,
Էրոս,proper noun,Greek god Eros.,From .,,wikitext,
Ժընև,proper noun,Geneva.,From .,,wikitext,
Իլով,proper noun,dollar to this close Ilov's suitcase in pre-Ilakh white |refn=<ref></ref>|year=1572}}.,From .,,wikitext,
Լևոն,proper noun,A male given name.,From .,,wikitext,
Կարս,proper noun,Kars.,From . The form  is a Turkish reborrowing.,,wikitext,
Կերչ,proper noun,"a <<city>> on the <<pen:Suf/Kerch>> in eastern <<pen/Crimea>>, internationally recognized as part of",From .,,wikitext,
Հայկ,proper noun,Armenian mythology Hayk.,From .,,wikitext,
Հայք,proper noun,"archaic, poetic.",From .,,wikitext,
Հռոմ,proper noun,Rome.,From .,,wikitext,
Հրատ,proper noun,obsolete Mars planet.,From .,,wikitext,
Ձվիկ,proper noun,A female given name.,From .,,wikitext,
Մանե,proper noun,A female given name.,From .,,wikitext,
Մսըր,proper noun,", Armenia|year=1468|quote=KANK[NE]Tsi CROSS[S] TO the crown [and] TO the crown.","From , from .",,wikitext,
Վաչե,proper noun,A male given name.,From .,,wikitext,
Վեդա,proper noun,Veda.,From .,,wikitext,
Վիշի,proper noun,Vichy.,From .,,wikitext,
Վիրք,proper noun,archaic.,From .,,wikitext,
Վռամ,proper noun,A male given name.,From .,,wikitext,
Փոթի,proper noun,Poti.,From .,,wikitext,
Օմսկ,proper noun,"oblast, c/Russia.",From .,,wikitext,
Ֆիջի,proper noun,Fiji.,From .,,wikitext,
աբլա,noun,"Erzurum lady, mother, elder sister (used as a respectful term).","From , .",,wikitext,
աբոյ,noun,wallpaper.,From .,,wikitext,
ագահ,adj,"avaricious, covetous, greedy.",From .,,wikitext,
ագոն,noun,archaic.,From .,,wikitext,
ազատ,adj,free.,From .,,wikitext,
ազիկ,noun,ethnic slur Azerbaijani.,From .,,wikitext,
ազոտ,noun,nitrogen.,From .,,wikitext,
աթոռ,noun,chair.,From .,,wikitext,
ալամ,noun,dialectal world; universe.,From .,,wikitext,
ալան,noun,historical Alan.,From .,,wikitext,
ալիք,noun,wave.,From .,,wikitext,
ալոճ,noun,]} alchemy|refn=<ref></ref>}}.,From .,,wikitext,
ախոռ,noun,"stable, stall usually for horses.",From .,,wikitext,
ածու,noun,garden-bed.,From .,,wikitext,
ակահ,adj,"dialectal awake, alert.",From .,,wikitext,
ակոս,noun,"agriculture furrow, the trench cut in the soil by a plough.",From .,,wikitext,
ակռա,noun,Western Armenian tooth.,From .,,wikitext,
ահեղ,adj,"frightening, terrifying, formidable.",From .,,wikitext,
աղաք,noun,front.,From .,,wikitext,
աղու,adj,"agreeable, pleasant, nice; sweet.",From .,,wikitext,
աճել,verb,intransitive to grow; to increase; to grow up; to rise.,From .,,wikitext,
աճեմ,noun,Istanbul Persian.,"From , from .",,wikitext,
ամոթ,noun,shame.,From .,,wikitext,
այժմ,adv,"formal now, at present, at this moment in time.",From .,,wikitext,
անթև,adj,"wingless, without wings.",From .,,wikitext,
անիվ,noun,wheel.,From .,,wikitext,
անցք,noun,"hole, opening, slot.",From .,,wikitext,
աշտե,noun,type of a spear.,From .,,wikitext,
աչեղ,adj,having big and beautiful eyes.,From .,,wikitext,
ապիկ,noun,cupping glass.,From .,,wikitext,
աջող,adj,archaic alternative form of հաջող.,From .,,wikitext,
առաջ,adv,"front part; front, anterior.",From .,,wikitext,
առատ,adj,"abundant, abounding, plentiful, copious.",From .,,wikitext,
առեղ,noun,"pole, beam, shaft of a cart.",From .,,wikitext,
առիթ,noun,"occasion, reason.",From .,,wikitext,
առկա,adj,present.,From .,,wikitext,
ասել,verb,to say.,From .,,wikitext,
ասլի,adj,"dialectal, Moks, of plants taken root.","From , from .",,wikitext,
ավար,noun,"loot, spoils, booty.",From .,,wikitext,
ավետ,noun,rare.,From .,,wikitext,
ավեր,adj,"desolate, ruined.",From .,,wikitext,
ավիշ,noun,physiology lymph.,From .,,wikitext,
ավտո,noun,"car, wheels.",From .,,wikitext,
արագ,adj,fast; quick; swift.,From .,,wikitext,
արար,noun,dated alternative form of արարք.,From .,,wikitext,
արդի,adj,"modern, contemporary, up-to-date.",From .,,wikitext,
արոտ,noun,"herbage, grass for grazing.",From .,,wikitext,
արու,adj,"male, masculine.",From .,,wikitext,
արտ-,,"extra-, beyond, outside.",From .,,wikitext,
բազա,noun,base permanent structure for housing military.,From .,,wikitext,
բազե,noun,hawk; falcon.,From .,,wikitext,
բախտ,noun,"luck, fortune (good or bad).",From .,,wikitext,
բայց,conj,"but, yet contrastive logical conjunction.",From .,,wikitext,
բանկ,noun,bank financial institution.,From .,,wikitext,
բանտ,noun,"prison, jail.",From .,,wikitext,
բաջի,noun,sister; aunt.,From .,,wikitext,
բարդ,adj,"complicated, complex, difficult.",From .,,wikitext,
բարք,noun,"nature, character, disposition, trait.",From .,,wikitext,
բացի,prep,"besides, except, apart from.",From .,,wikitext,
բզեզ,noun,beetle.,From .,,wikitext,
բիձա,noun,"dialectal, Ararat, Tbilisi, Karin paternal uncle.",From .,,wikitext,
բինտ,noun,"bandage, dressing.",From .,,wikitext,
